Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Mar 08, 2019",110.51,109.16,110.71,108.8,22.82M
"Mar 07, 2019",110.39,111.4,111.55,109.86,25.34M
"Mar 06, 2019",111.75,111.87,112.66,111.43,17.69M
"Mar 05, 2019",111.7,112.25,112.39,111.23,19.54M
"Mar 04, 2019",112.26,113.02,113.25,110.8,26.61M
"Mar 01, 2019",112.53,112.89,113.02,111.67,23.50M
"Feb 28, 2019",112.03,112.04,112.88,111.73,29.08M
"Feb 27, 2019",112.17,111.69,112.36,110.88,21.49M
"Feb 26, 2019",112.36,111.26,113.24,111.17,21.54M
"Feb 25, 2019",111.59,111.76,112.18,111.26,23.75M
"Feb 22, 2019",110.97,110.05,111.2,109.82,27.76M
"Feb 21, 2019",109.41,106.9,109.48,106.87,29.06M
"Feb 20, 2019",107.15,107.86,107.94,106.29,21.61M
"Feb 19, 2019",108.17,107.79,108.66,107.78,18.04M
"Feb 15, 2019",108.22,107.91,108.3,107.36,26.61M
"Feb 14, 2019",106.9,106.31,107.29,105.66,21.78M
"Feb 13, 2019",106.81,107.5,107.78,106.71,18.39M
"Feb 12, 2019",106.89,106.14,107.14,105.48,25.06M
"Feb 11, 2019",105.25,106.2,106.58,104.97,18.91M
"Feb 08, 2019",105.67,104.39,105.78,104.26,21.46M
"Feb 07, 2019",105.27,105.19,105.59,104.29,29.76M
"Feb 06, 2019",106.03,107.0,107.0,105.53,20.61M
"Feb 05, 2019",107.22,106.06,107.27,105.96,27.33M
"Feb 04, 2019",105.74,102.87,105.8,102.77,31.32M
"Feb 01, 2019",102.78,103.78,104.1,102.35,35.54M
"Jan 31, 2019",104.43,103.8,105.22,103.18,55.64M
"Jan 30, 2019",106.38,104.62,106.38,104.33,49.47M
"Jan 29, 2019",102.94,104.88,104.97,102.17,31.49M
"Jan 28, 2019",105.08,106.26,106.48,104.66,29.48M
"Jan 25, 2019",107.17,107.24,107.88,106.59,31.22M
"Jan 24, 2019",106.2,106.86,107.0,105.34,23.16M
"Jan 23, 2019",106.71,106.12,107.04,105.34,25.87M
"Jan 22, 2019",105.68,106.75,107.1,104.86,32.37M
"Jan 18, 2019",107.71,107.46,107.9,105.91,37.43M
"Jan 17, 2019",106.12,105.0,106.62,104.76,28.39M
"Jan 16, 2019",105.38,105.26,106.25,104.96,29.85M
"Jan 15, 2019",105.01,102.51,105.05,101.88,31.59M
"Jan 14, 2019",102.05,101.9,102.87,101.26,28.44M
"Jan 11, 2019",102.8,103.19,103.44,101.64,28.31M
"Jan 10, 2019",103.6,103.22,103.75,102.38,30.07M
"Jan 09, 2019",104.27,103.86,104.88,103.24,32.28M
"Jan 08, 2019",102.8,103.04,103.97,101.71,31.51M
"Jan 07, 2019",102.06,101.64,103.27,100.98,35.66M
"Jan 04, 2019",101.93,99.72,102.51,98.93,44.06M
"Jan 03, 2019",97.4,100.1,100.19,97.2,42.58M
"Jan 02, 2019",101.12,99.55,101.75,98.94,35.33M
"Dec 31, 2018",101.57,101.29,102.4,100.44,33.17M
"Dec 28, 2018",100.39,102.09,102.41,99.52,38.17M
"Dec 27, 2018",101.18,99.3,101.19,96.4,49.50M
"Dec 26, 2018",100.56,95.14,100.69,93.96,51.63M
"Dec 24, 2018",94.13,97.68,97.97,93.98,43.94M
"Dec 21, 2018",98.23,101.63,103.0,97.46,111.24M
"Dec 20, 2018",101.51,103.05,104.31,98.78,70.33M
"Dec 19, 2018",103.69,103.65,106.88,101.35,68.20M
"Dec 18, 2018",103.97,103.75,104.51,102.52,49.32M
"Dec 17, 2018",102.89,105.41,105.8,101.71,56.96M
"Dec 14, 2018",106.03,108.25,109.26,105.5,47.04M
"Dec 13, 2018",109.45,109.58,110.87,108.63,31.33M
"Dec 12, 2018",109.08,110.89,111.27,109.04,36.18M
"Dec 11, 2018",108.59,109.8,110.95,107.44,42.38M
"Dec 10, 2018",107.59,104.8,107.98,103.89,40.80M
"Dec 07, 2018",104.82,108.38,109.45,104.3,45.04M
"Dec 06, 2018",109.19,105.82,109.24,105.0,49.11M
"Dec 04, 2018",108.52,111.94,112.64,108.21,45.20M
"Dec 03, 2018",112.09,113.0,113.42,110.73,34.73M
"Nov 30, 2018",110.89,110.7,110.97,109.36,33.67M
"Nov 29, 2018",110.19,110.33,111.11,109.03,28.12M
"Nov 28, 2018",111.12,107.89,111.33,107.86,46.79M
"Nov 27, 2018",107.14,106.27,107.33,105.36,29.12M
"Nov 26, 2018",106.47,104.79,106.63,104.58,32.34M
"Nov 23, 2018",103.07,102.17,103.81,102.0,13.82M
"Nov 21, 2018",103.11,103.6,104.43,102.24,28.13M
"Nov 20, 2018",101.71,101.8,102.97,99.35,64.05M
"Nov 19, 2018",104.62,108.27,108.56,103.55,44.77M
"Nov 16, 2018",108.29,107.08,108.88,106.8,33.50M
"Nov 15, 2018",107.28,104.99,107.8,103.91,38.51M
"Nov 14, 2018",104.97,108.1,108.26,104.47,39.50M
"Nov 13, 2018",106.94,107.55,108.74,106.64,35.37M
"Nov 12, 2018",106.87,109.42,109.96,106.1,33.62M
"Nov 09, 2018",109.57,110.85,111.45,108.76,32.04M
"Nov 08, 2018",111.75,111.8,112.21,110.91,25.64M
"Nov 07, 2018",111.96,109.44,112.24,109.4,37.90M
"Nov 06, 2018",107.72,107.38,108.84,106.28,24.34M
"Nov 05, 2018",107.51,106.37,107.74,105.9,27.92M
"Nov 02, 2018",106.16,106.48,107.32,104.97,37.68M
"Nov 01, 2018",105.92,107.05,107.32,105.53,33.38M
"Oct 31, 2018",106.81,105.44,108.14,105.39,51.06M
"Oct 30, 2018",103.73,103.66,104.38,100.11,65.35M
"Oct 29, 2018",103.85,108.11,108.7,101.63,55.16M
"Oct 26, 2018",106.96,105.69,108.75,104.76,55.52M
"Oct 25, 2018",108.3,106.55,109.27,106.15,61.65M
"Oct 24, 2018",102.32,108.41,108.49,101.59,63.90M
"Oct 23, 2018",108.1,107.77,108.97,105.11,43.77M
"Oct 22, 2018",109.63,109.32,110.54,108.24,26.55M
"Oct 19, 2018",108.66,108.93,110.86,108.21,32.79M
"Oct 18, 2018",108.5,110.1,110.53,107.83,32.51M
"Oct 17, 2018",110.71,111.68,111.81,109.55,26.55M
"Oct 16, 2018",111.0,109.54,111.41,108.95,31.61M
"Oct 15, 2018",107.6,108.91,109.48,106.95,32.07M
"Oct 12, 2018",109.57,109.01,111.24,107.12,47.74M
