,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_Perc_Change,Trend
210,2018-12-24,94.13,97.68,97.97,93.98,43940000,12,2018,-6.394192521877495,Among top losers
211,2018-12-21,98.23,101.63,103.0,97.46,111240000,12,2018,4.355678317220879,Among top gainers
212,2018-12-20,101.51,103.05,104.31,98.78,70330000,12,2018,3.3391021072991967,Among top gainers
213,2018-12-19,103.69,103.65,106.88,101.35,68200000,12,2018,2.1475716678159618,Positive
214,2018-12-18,103.97,103.75,104.51,102.52,49320000,12,2018,0.2700356832867179,Slight or No change
215,2018-12-17,102.89,105.41,105.8,101.71,56960000,12,2018,-1.0387611811099373,Negative
216,2018-12-14,106.03,108.25,109.26,105.5,47040000,12,2018,3.0518028962970067,Among top gainers
217,2018-12-13,109.45,109.58,110.87,108.63,31330000,12,2018,3.2255022163538705,Among top gainers
218,2018-12-12,109.08,110.89,111.27,109.04,36180000,12,2018,-0.3380539058931098,Slight or No change
219,2018-12-11,108.59,109.8,110.95,107.44,42380000,12,2018,-0.4492115878254488,Slight or No change
220,2018-12-10,107.59,104.8,107.98,103.89,40800000,12,2018,-0.9208951100469709,Slight negative
221,2018-12-07,104.82,108.38,109.45,104.3,45040000,12,2018,-2.574588716423465,Negative
222,2018-12-06,109.19,105.82,109.24,105.0,49110000,12,2018,4.169051707689375,Among top gainers
223,2018-12-04,108.52,111.94,112.64,108.21,45200000,12,2018,-0.6136093048814018,Slight negative
224,2018-12-03,112.09,113.0,113.42,110.73,34730000,12,2018,3.289716181349056,Among top gainers
225,2018-11-30,110.89,110.7,110.97,109.36,33670000,11,2018,-1.0705682933357163,Negative
226,2018-11-29,110.19,110.33,111.11,109.03,28120000,11,2018,-0.631256199837682,Slight negative
227,2018-11-28,111.12,107.89,111.33,107.86,46790000,11,2018,0.843996732915886,Slight positive
228,2018-11-27,107.14,106.27,107.33,105.36,29120000,11,2018,-3.581713462922964,Among top losers
229,2018-11-26,106.47,104.79,106.63,104.58,32340000,11,2018,-0.6253500093335806,Slight negative
230,2018-11-23,103.07,102.17,103.81,102.0,13820000,11,2018,-3.19338780877243,Among top losers
231,2018-11-21,103.11,103.6,104.43,102.24,28130000,11,2018,0.03880857669544824,Slight or No change
232,2018-11-20,101.71,101.8,102.97,99.35,64050000,11,2018,-1.357773251866945,Negative
233,2018-11-19,104.62,108.27,108.56,103.55,44770000,11,2018,2.8610756071182797,Positive
234,2018-11-16,108.29,107.08,108.88,106.8,33500000,11,2018,3.507933473523228,Among top gainers
235,2018-11-15,107.28,104.99,107.8,103.91,38510000,11,2018,-0.9326807646135471,Slight negative
236,2018-11-14,104.97,108.1,108.26,104.47,39500000,11,2018,-2.1532438478747196,Negative
237,2018-11-13,106.94,107.55,108.74,106.64,35370000,11,2018,1.8767266838144225,Positive
238,2018-11-12,106.87,109.42,109.96,106.1,33620000,11,2018,-0.06545726575649669,Slight or No change
239,2018-11-09,109.57,110.85,111.45,108.76,32040000,11,2018,2.5264339852156814,Positive
240,2018-11-08,111.75,111.8,112.21,110.91,25640000,11,2018,1.9895956922515445,Positive
241,2018-11-07,111.96,109.44,112.24,109.4,37900000,11,2018,0.18791946308724938,Slight or No change
242,2018-11-06,107.72,107.38,108.84,106.28,24340000,11,2018,-3.787066809574846,Among top losers
243,2018-11-05,107.51,106.37,107.74,105.9,27920000,11,2018,-0.1949498700334118,Slight or No change
244,2018-11-02,106.16,106.48,107.32,104.97,37680000,11,2018,-1.255697144451684,Negative
245,2018-11-01,105.92,107.05,107.32,105.53,33380000,11,2018,-0.22607385079125297,Slight or No change
246,2018-10-31,106.81,105.44,108.14,105.39,51060000,10,2018,0.8402567975830832,Slight positive
247,2018-10-30,103.73,103.66,104.38,100.11,65349999,10,2018,-2.883625128733258,Negative
248,2018-10-29,103.85,108.11,108.7,101.63,55160000,10,2018,0.11568495131590861,Slight or No change
249,2018-10-26,106.96,105.69,108.75,104.76,55520000,10,2018,2.9947038998555664,Positive
250,2018-10-25,108.3,106.55,109.27,106.15,61650000,10,2018,1.2528047868362036,Positive
251,2018-10-24,102.32,108.41,108.49,101.59,63900000,10,2018,-5.521698984302869,Among top losers
252,2018-10-23,108.1,107.77,108.97,105.11,43770000,10,2018,5.648944487881158,Among top gainers
253,2018-10-22,109.63,109.32,110.54,108.24,26550000,10,2018,1.4153561517113777,Positive
254,2018-10-19,108.66,108.93,110.86,108.21,32790000,10,2018,-0.8847943081273346,Slight negative
255,2018-10-18,108.5,110.1,110.53,107.83,32509999,10,2018,-0.1472482974415601,Slight or No change
256,2018-10-17,110.71,111.68,111.81,109.55,26550000,10,2018,2.0368663594469982,Positive
257,2018-10-16,111.0,109.54,111.41,108.95,31610000,10,2018,0.26194562370156493,Slight or No change
258,2018-10-15,107.6,108.91,109.48,106.95,32070000,10,2018,-3.063063063063065,Among top losers
259,2018-10-12,109.57,109.01,111.24,107.12,47740000,10,2018,1.8308550185873518,Positive
260,2018-10-11,105.91,105.35,108.93,104.2,63900000,10,2018,-3.3403303824039443,Among top losers
261,2018-10-10,106.16,111.24,111.5,105.79,61380000,10,2018,0.23604947597015702,Slight or No change
262,2018-10-09,112.26,111.14,113.08,110.8,26200000,10,2018,5.746043707611159,Among top gainers
263,2018-10-08,110.85,111.66,112.03,109.34,29640000,10,2018,-1.2560128273650495,Negative
264,2018-10-05,112.13,112.63,113.17,110.64,29070000,10,2018,1.1547135769057304,Positive
265,2018-10-04,112.79,114.61,114.76,111.63,34820000,10,2018,0.5886025149380192,Slight positive
266,2018-10-03,115.17,115.42,116.18,114.93,16649999,10,2018,2.110116145048324,Positive
267,2018-10-02,115.15,115.3,115.84,114.44,20790000,10,2018,-0.017365633411470238,Slight or No change
268,2018-10-01,115.61,114.75,115.68,114.73,18880000,10,2018,0.39947894051237665,Slight or No change
269,2018-09-28,114.37,114.19,114.57,113.68,21650000,9,2018,-1.0725715768532096,Negative
270,2018-09-27,114.41,114.78,114.91,114.2,19090000,9,2018,0.034974206522675466,Slight or No change
271,2018-09-26,113.98,114.47,115.06,113.74,19350000,9,2018,-0.37584127261602873,Slight or No change
272,2018-09-25,114.45,114.8,115.1,113.75,22670000,9,2018,0.412353044393754,Slight or No change
273,2018-09-24,114.67,113.03,114.9,112.22,27330000,9,2018,0.1922236784622111,Slight or No change
274,2018-09-21,114.26,114.0,115.29,113.51,71230000,9,2018,-0.35754774570506687,Slight or No change
275,2018-09-20,113.57,112.28,113.8,111.93,23710000,9,2018,-0.6038858743217301,Slight negative
276,2018-09-19,111.7,113.05,113.32,111.03,21730000,9,2018,-1.6465615919696974,Negative
277,2018-09-18,113.21,112.19,113.69,111.72,22170000,9,2018,1.3518352730528038,Positive
278,2018-09-17,112.14,113.69,113.7,111.86,20740000,9,2018,-0.9451461884992463,Slight negative
279,2018-09-14,113.37,113.36,113.73,112.44,19120000,9,2018,1.0968432316746934,Positive
280,2018-09-13,112.91,112.12,113.72,112.12,26060000,9,2018,-0.4057510805327791,Slight or No change
281,2018-09-12,111.71,111.43,111.85,110.51,18890000,9,2018,-1.0627933752546337,Negative
282,2018-09-11,111.24,108.9,111.59,108.89,24300000,9,2018,-0.4207322531554869,Slight or No change
283,2018-09-10,109.38,108.84,109.64,108.36,20730000,9,2018,-1.6720604099244918,Negative
284,2018-09-07,108.21,108.23,108.72,107.23,22500000,9,2018,-1.0696653867251826,Negative
285,2018-09-06,108.74,108.25,108.99,107.51,23480000,9,2018,0.48978837445707857,Slight or No change
286,2018-09-05,108.49,111.01,111.42,108.1,32869999,9,2018,-0.22990619827110148,Slight or No change
287,2018-09-04,111.71,110.85,111.95,110.22,22630000,9,2018,2.968015485298192,Positive
288,2018-08-31,112.33,111.69,112.78,111.52,23220000,8,2018,0.5550085041625685,Slight positive
